sample	TCGA-06-2569-01	TCGA-06-2570-01	TCGA-06-5416-01	TCGA-15-1444-01	TCGA-CS-6666-01	TCGA-DB-A4XE-01	TCGA-DB-A75O-01	TCGA-DH-5142-01	TCGA-DU-6404-01	TCGA-DU-6404-02	TCGA-DU-6408-01	TCGA-DU-6542-01	TCGA-DU-8163-01	TCGA-DU-A6S7-01	TCGA-E1-A7YV-01	TCGA-FG-5963-01	TCGA-FG-5963-02	TCGA-FG-8181-01	TCGA-FN-7833-01	TCGA-HT-7686-01	TCGA-HT-7690-01	TCGA-HT-7857-01	TCGA-HT-A61B-01	TCGA-KT-A74X-01	TCGA-P5-A72X-01	TCGA-P5-A730-01	TCGA-QH-A65X-01	TCGA-S9-A6U1-01	TCGA-S9-A6U6-01	TCGA-S9-A7J2-01	TCGA-TQ-A7RF-01	TH02_0074_S01	TH02_0075_S01	TH02_0076_S01	TH02_0077_S01	TH02_0078_S01	TH02_0079_S01	TH02_0081_S01	TH02_0082_S01	TH02_0083_S01	TH02_0084_S01	TH02_0085_S01	TH02_0086_S01	TH02_0087_S01	TH02_0087_S02	TH02_0088_S01	TH02_0089_S01	TH02_0090_S01	TH02_0091_S01	TH02_0092_S01	TH02_0093_S01	TH02_0094_S01	TH02_0095_S01	TH02_0096_S01	TH02_0651_S01	TH02_0652_S01	TH02_0653_S01	TH02_0654_S01	TH02_0656_S01	TH04_0021_S01	TH06_0616_S01	TH06_0627_S01	TH06_0647_S01	TH06_1175_S01	THR13_0963_S01	THR13_0964_S01	THR13_0965_S01	THR13_0968_S01	THR13_0969_S01	THR13_0970_S01	THR13_0971_S01	THR13_0972_S01	THR13_0973_S01	THR13_0974_S01	THR14_0301_S01	THR14_0302_S01	THR14_0303_S01	THR14_0308_S01	THR14_0309_S01	THR14_0310_S01	THR14_0311_S01	THR14_0312_S01	THR14_0313_S01	THR14_0324_S01	THR14_0326_S01	THR14_0327_S01	THR31_0918_S01	THR32_0958_S01	THR32_0959_S01	THR32_0960_S01
MDFI	8.05632591248	7.065203666689999	4.0574750900300005	6.0938591957099995	6.98095607758	6.27572488785	7.183748722080001	6.92104387283	7.630492210389999	7.485510349269999	7.5999488830600015	6.9836344718899985	6.552637100219999	6.5315656662	5.81120157242	5.652249336240001	7.297492027280001	1.7311942577400001	5.32189321518	6.64774703979	6.08449840546	4.77820920944	6.558870315549999	6.537005901340001	5.37437391281	2.8278000354799997	5.305613040919999	6.3414850235000015	6.54561281204	6.6320066452	5.2644944191	0.411426245726	2.5655971758500002	0.545968369105	2.7048719644599997	0.20163386116999998	4.72683121703	3.6158870739199998	6.579994693200001	6.783325684809999	5.45220004941	7.538615759169999	7.091276694369999	7.54511893001	6.264911693069999	4.63749432521	7.10003151475	6.952333566369997	4.63633460244	5.398829182439999	6.431790083380001	6.2818836745599995	7.06522762278	5.897240425569999	4.31469652566	7.07660184862	7.55082372707	7.1571447923000004	7.51491126486	3.8165997065300004	7.96538027349	4.80219321694	7.676873858210001	2.13093086983	6.067380578019999	3.7279204545599995	6.8051634535000005	7.517669388130001	3.13422093976	8.32773226808	6.3600130422	6.048759311919999	5.74469931421	6.429448588480001	7.129283016939999	6.0329824166999995	5.84247606299	6.062423969069999	7.102133190469999	6.889716891619999	5.69125497865	4.403949364230001	5.916237767869999	5.799864410880001	6.2852172461	1.18269229752	7.2639733548	3.82476785314	0.298658315565	7.079911395800001
IGHG1	2.76982116699	1.87976586819	3.9411303997000013	1.16999924183	1.32197141647	0.0842030718923	0.298782199621	2.11105108261	0.6960961818699999	3.84750771523	0.356247276068	1.81561923027	2.5134885311099997	0.28699606657	1.5261189937600002	5.1706829071	1.2016847133600002	1.55091810226	3.75492453575	1.7527943849599998	3.52361559868	5.1477432251	1.28695785999	1.6369429826700002	1.59461688995	3.5071885585800002	5.2310962677	0.298782199621	0.650870025158	0.163629814982	6.93155670166	0.799087306074	7.83958173729	8.623954628589999	0.40053792958400003	0.432959407276	1.6182386556000001	0.7398481026989999	0.918386234446	3.5594918132099997	0.286881147788	2.78659636189	0.9411063109460001	0.378511623254	6.229011037009999	0.790772037862	1.89530262133	0.823749360308	6.04001567885	0.807354922058	1.6182386556000001	5.25738784269	1.6599245584	0.831877241192	0.641546029088	0.722466024471	0.83995958749	0.163498732283	1.19534759832	2.79908730607	2.6915341649199997	8.03501899461	5.4940955449399995	0.042644337408499995	0.0	1.344828497	1.94860084749	5.6322682155	2.3645724322999997	5.61911951145	0.613531652918	5.138323004059999	0.50589092973	0.263034405834	6.04286317625	0.378511623254	1.01435529298	1.42760617278	1.0772429989299999	0.454175893186	2.24184018356	5.57652213792	0.6870606883399999	2.55090066465	2.92599941856	0.62293035092	3.74631276643	0.263034405834	0.0143552929771	0.53605290024
IGHG2	0.660012125969	0.163629814982	0.956147193909	0.20175661146600002	0.322051674128	0.0	0.0427840352058	0.8156710863109999	0.028709901496799996	2.18274474144	0.0	0.970923125744	1.5753415822999999	0.0	0.5161281228069999	2.77818965912	0.310455471277	0.7825045585629999	1.07733309269	1.04270172119	2.6803507804900004	2.7398314476	1.25101447105	0.879794299603	0.11116745322899999	1.63233089447	4.61054325104	0.0977480858564	0.13763217628	0.0	3.96807456017	0.584962500721	4.92029330021	4.033863451869999	0.111031312389	0.38956681176299995	0.422233000683	0.6322682155	0.042644337408499995	2.01077983875	0.042644337408499995	0.641546029088	0.34482849699699997	0.378511623254	4.08661394741	0.545968369105	0.2750070475	0.13750352375	3.62993940944	0.0285691521968	2.45943161864	4.12184429788	0.641546029088	0.0565835283664	0.21412480535300002	0.163498732283	0.13750352375	0.0703893278914	1.16992500144	1.7484612330000002	2.58976348698	4.44426950241	2.32768736418	0.042644337408499995	0.0	0.0703893278914	0.555816155062	0.298658315565	1.93734439215	5.07895134139	0.12432813500199999	0.650764559117	0.0	0.0	2.1858665453099997	0.111031312389	0.17632277264000001	0.903038270113	2.28392177231	0.422233000683	2.08746284125	5.423578170980001	0.0285691521968	2.78868571061	0.13750352375	1.01435529298	0.20163386116999998	0.0	0.0	0.0703893278914
IGKV1D-39	0.176445946097	0.5161281228069999	1.0976788997700002	0.189164444804	0.0	0.0	0.0	0.344949603081	0.0	1.8400152921700001	0.0	0.0	1.7268627881999998	0.0	0.176445946097	1.40602171421	0.0	0.485537260771	0.555914640427	0.485537260771	3.8678681850400003	1.87976586819	0.238915011287	0.13763217628	0.310455471277	0.63235270977	0.20175661146600002	0.356247276068	0.176445946097	0.0	3.15059494972	0.378511623254	3.7092906357199995	5.53418613909	0.0	0.0	2.31034012061	1.6780719051100002	0.286881147788	1.9855004303000001	0.0	0.925999418556	0.0	0.12432813500199999	4.48026512205	0.0	0.6690267655100001	0.163498732283	2.7290088703400004	0.0	1.7907720378599998	3.78868571061	1.06350294231	0.0	0.526068811668	0.0	0.0	0.0	0.356143810225	0.8953026213330001	0.356143810225	5.1122831086	2.53853816363	0.0	0.0	0.0	1.43829285158	4.99231525186	0.0	3.09929520434	0.0	2.03562390973	0.0	0.0	3.2524762141400005	0.0	0.0	0.432959407276	0.0	0.0	0.21412480535300002	2.71149490665	0.0	0.163498732283	0.555816155062	0.23878685958700002	1.6915341649200002	0.0976107966264	0.0285691521968	1.13093086983
GSC	2.02860546112	2.76982116699	0.150686472654	2.05663275719	0.774071753025	1.12438941002	0.238915011287	2.98186612129	2.6040844917299997	3.89287590981	2.1985368728599997	0.11116745322899999	0.6781482100489999	2.28983139992	1.3841319084200001	0.214244633913	1.25101447105	0.028709901496799996	0.226636484265	1.8359431028400002	1.7311942577400001	2.2720363140099997	2.71147656441	1.05667030811	0.5754107832909999	0.722541868687	0.669106304646	1.5261189937600002	0.594645738602	1.35055458546	1.9561163187000001	0.0	1.03562390973	0.9107326619030001	0.0	0.0976107966264	0.042644337408499995	2.62293035092	0.0	0.0840642647885	0.0285691521968	0.0	0.163498732283	0.0	0.17632277264000001	0.0143552929771	0.0	3.2690331464599995	0.32192809488699997	0.23878685958700002	0.0	0.0	0.0285691521968	0.0	1.8559896973099999	0.0	0.0565835283664	0.0143552929771	0.0143552929771	0.0143552929771	1.10433665981	3.4672794804600002	0.042644337408499995	0.042644337408499995	0.0	0.18903382439	0.0	0.0	1.50080205306	0.0	0.111031312389	0.0976107966264	0.0	0.0	3.31903981556	0.23878685958700002	0.0285691521968	0.163498732283	2.60644222813	0.22650852980900002	0.526068811668	0.263034405834	0.0	2.37295209791	2.7803100990400003	1.0285691522	1.58014548442	2.37295209791	0.0	4.88362081629
LHX2	3.4449303150199997	5.06908893585	5.22029256821	3.6881933212300004	2.0461587905900003	4.37156867981	3.3161964416500003	3.5885841846499997	7.92265272141	7.563758373260001	4.47893095016	4.3139529228199995	3.41689300537	3.0583250522600003	5.3273539543199995	5.58856916428	6.33111476898	6.68121433258	3.4828546047199995	5.461098194119999	5.3961405754100005	4.27352285385	7.241854190830001	4.3462638855	4.6791872978199995	3.69714379311	3.8074109554300004	4.34550333023	5.694603443150001	5.26683187485	3.54106640816	1.09761079663	4.69320814891	4.74469931421	0.23878685958700002	4.98504496225	0.333423733725	4.07467668629	0.6690267655100001	0.0565835283664	1.0	0.422233000683	0.20163386116999998	0.250961573533	0.918386234446	0.0285691521968	0.333423733725	3.7612852733599995	0.722466024471	6.017921908	0.0976107966264	0.12432813500199999	0.0285691521968	0.0	3.972692654	0.59454854955	5.02147972741	0.21412480535300002	0.6870606883399999	3.1325768426700003	4.96901230752	5.72410451987	0.565597175854	3.9250499647300003	0.12432813500199999	0.44360665147600004	0.8797057662819999	0.641546029088	3.34908214639	0.367371065649	0.111031312389	0.0976107966264	0.948600847493	0.23878685958700002	4.5927560104400005	1.7655347463599995	4.978195629680001	0.17632277264000001	0.0285691521968	1.4436066514800001	1.03562390973	5.35297033825	0.0840642647885	4.34127418369	3.784503982930002	4.3812833725	5.593054921669999	4.37016428054	0.40053792958400003	8.61900943388
CCL28	0.623023867607	0.214244633913	1.31041526794	0.13763217628	0.028709901496799996	0.443720519543	0.11116745322899999	0.0842030718923	0.565691828728	0.726922333241	0.275123685598	0.25107562542	0.4542835950850001	0.0842030718923	0.25107562542	2.65304899216	3.4449303150199997	1.4542182683899998	0.07052473723889999	0.505994856358	0.422329545021	0.298782199621	0.07052473723889999	0.0977480858564	0.433055132627	0.356247276068	0.12445962429000001	0.07052473723889999	0.422329545021	0.11116745322899999	0.11116745322899999	0.22650852980900002	1.06350294231	2.68929916054	0.9411063109460001	0.863938450424	0.9107326619030001	0.298658315565	0.9107326619030001	2.32481060342	1.58496250072	0.704871964456	1.5109619192800001	0.50589092973	0.948600847493	0.12432813500199999	0.748461233004	0.18903382439	1.18903382439	3.34198574723	1.124328135	1.5360529002399999	0.18903382439	0.790772037862	2.09423606985	2.58014548442	2.58976348698	0.992768430769	0.50589092973	0.823749360308	2.78659636189	0.0976107966264	2.19219416528	0.263034405834	1.4329594072799998	1.4905701304499999	2.46727948046	2.3645724322999997	0.21412480535300002	2.4620523188	0.659924558402	3.5122268865099997	2.93168305706	0.38956681176299995	2.60880924268	0.286881147788	0.286881147788	1.85996954822	3.79077203786	0.333423733725	0.23878685958700002	0.790772037862	0.0565835283664	0.111031312389	0.17632277264000001	0.0285691521968	0.0143552929771	0.0565835283664	0.6690267655100001	0.13750352375
SIX1	5.986612796779999	3.80629658699	3.86498069763	2.70927333832	3.95235300064	0.25107562542	1.78247022629	2.7312467098199997	4.4725317955	5.15095186234	2.45156908035	2.32486987114	2.71147656441	3.6276021003699994	2.35617637634	2.5801401138299997	4.34692955017	0.298782199621	2.42229318619	3.673532009119999	2.69826698303	2.3895907402	2.49824261665	1.7355312109	2.2448985576599996	1.4330234527599999	1.5361298322699999	2.7070708274799995	2.19220376015	1.13101112843	1.9030752182	1.2016338611700002	3.20163386117	2.0391383939099996	0.12432813500199999	1.18269229752	1.7268312170299998	3.04963076772	0.0976107966264	0.111031312389	0.2750070475	0.18903382439	0.454175893186	0.150559676575	0.163498732283	0.0143552929771	0.50589092973	4.5020759560500005	0.333423733725	0.422233000683	0.0565835283664	0.0976107966264	1.96716860753	0.042644337408499995	2.10097764772	0.250961573533	0.432959407276	0.111031312389	0.250961573533	5.58104990095	4.4502214959	2.89917563048	0.22650852980900002	0.831877241192	0.367371065649	0.250961573533	0.20163386116999998	0.310340120612	3.2372577709	0.422233000683	3.30888505741	0.2750070475	0.678071905113	0.0565835283664	2.24184018356	1.60880924268	2.8237493603099995	0.333423733725	0.475084882949	0.286881147788	0.17632277264000001	0.263034405834	0.34482849699699997	1.8278190246200001	1.5260688116699999	1.08406426479	4.02768487694	0.575312330687	0.0143552929771	4.731726322719999
CLN3	5.32195520401	5.38579034805	5.38508558273	5.01166629791	5.07256174088	5.19694328308	5.2494969368	5.4336485862699995	4.86886787415	4.76712369919	5.3888673782300005	5.36173295975	4.78655862808	5.14487934113	5.40124368668	5.6542239189100005	5.3049101829500005	3.8973007202099996	5.0277047157300006	4.99505901337	5.27797698975	5.11809492111	5.92196130753	5.3747220039400005	4.90598297119	5.22384786606	5.72005653381	4.97816085815	5.01877832413	5.71366453171	5.662171840669999	3.52606881167	3.45943161864	4.65935375917	3.3854310371900005	2.99819550315	2.8196681835	3.7290088703400004	3.7452373321300008	4.89917563048	4.643278996309999	5.05354581773	5.12018602753	4.68594014845	4.698218478219999	3.11103131239	5.10223819393	5.40224465525	4.70043971814	4.84749588379	3.6052572629400004	4.19455988602	5.0139088454900005	2.97819562968	4.668459556919999	3.9662458732199997	4.80838505066	4.3030500846800015	5.05224198118	3.61353165292	5.7578233362099995	5.30378074818	4.49313492231	5.48800077083	4.8564877795	5.20945336563	5.41953889151	4.18189764311	4.6616356023400005	4.83440784181	4.777682717069999	4.76447355099	4.9321556844300005	4.516015147	5.03826057518	4.3298411765300004	4.62993940944	5.613531652919999	5.21334728173	4.70376517879	4.7114949066500005	4.904002316280001	4.70763521955	5.1687222543599995	4.9611602581400005	4.15542543175	4.527946098909999	1.7739963251099995	1.24488705912	4.7054250390400005
GLP1R	0.07052473723889999	0.20175661146600002	0.150686472654	0.0144976107404	0.26316010952	0.356247276068	0.433055132627	0.0977480858564	0.163629814982	0.416945487261	1.32197141647	2.66222310066	0.443720519543	0.26316010952	0.150686472654	0.189164444804	0.495794504881	0.879794299603	0.0427840352058	0.344949603081	0.310455471277	0.028709901496799996	0.07052473723889999	0.056723508983899995	0.0842030718923	0.28699606657	0.056723508983899995	0.475177288055	1.5753415822999999	3.18588232994	0.41153392195699995	0.0	0.0565835283664	0.0	1.3785116232499999	0.0285691521968	1.29865831556	0.12432813500199999	0.163498732283	1.2078928516399998	0.454175893186	0.32192809488699997	0.12432813500199999	2.0531113364599998	0.516015147004	0.163498732283	0.411426245726	0.0285691521968	0.475084882949	0.310340120612	1.3219280948899998	0.575312330687	1.9891390073700002	0.0703893278914	0.0143552929771	2.45154083302	2.0531113364599998	0.40053792958400003	2.35332329116	2.07724299893	0.40053792958400003	0.0143552929771	1.10433665981	0.0143552929771	0.0	0.0143552929771	0.50589092973	1.7655347463599995	0.042644337408499995	1.8559896973099999	1.7398481027000001	1.21412480535	0.12432813500199999	0.32192809488699997	0.163498732283	0.0	0.0	0.713695814843	0.17632277264000001	0.0143552929771	0.042644337408499995	0.0285691521968	0.0703893278914	0.0565835283664	0.150559676575	0.0	0.21412480535300002	0.0	0.0565835283664	0.0285691521968
